benchmark,endpoint,task,representation,learner,metric,score,macro_auroc,micro_auroc,accuracy,balanced_accuracy,macro_f1,cohen_kappa,top3_accuracy,top5_accuracy,n_samples,n_classes,n_features,n_folds,primary_metric_scope,validation_protocol,canonical_split_source,canonical_split_signature,comparison_note
mc3_main,HRD_Score,regression,burden_only,linear,spearman,0.4972882379978098,,,,,,,,,772,85,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,burden_only,xgboost,spearman,0.5997475549807492,,,,,,,,,772,85,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,standard_sbs96_id83,linear,spearman,0.4305867692307522,,,,,,,,,772,85,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,standard_sbs96_id83,xgboost,spearman,0.69267507861819,,,,,,,,,772,85,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,MAF_stack_only,linear,spearman,0.7144086094891684,,,,,,,,,772,85,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,MAF_stack_only,xgboost,spearman,0.7412851483809776,,,,,,,,,772,85,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,linear,spearman,0.7325062605793751,,,,,,,,,772,85,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,xgboost,spearman,0.7666447319392569,,,,,,,,,772,85,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,burden_only,linear,auroc,0.788437708512058,,,0.7370466321243523,0.7244066342579354,0.7075970363404663,0.4189678184784221,,,772,2,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,burden_only,xgboost,auroc,0.7988990563340005,,,0.7538860103626943,0.7630508689988245,0.7334002195613136,0.4745364399736337,,,772,2,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,standard_sbs96_id83,linear,auroc,0.773623423251676,,,0.7487046632124352,0.7303561783115686,0.7171092894110536,0.4364709069564432,,,772,2,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,standard_sbs96_id83,xgboost,auroc,0.8495893305372859,,,0.8031088082901554,0.7826708607377753,0.7737728937728938,0.5481346846985613,,,772,2,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,MAF_stack_only,linear,auroc,0.7690838178756395,,,0.7525906735751295,0.7524624281129857,0.7287206347979829,0.4629985723858637,,,772,2,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,MAF_stack_only,xgboost,auroc,0.8555388745909192,,,0.7901554404145078,0.7902805579385506,0.767704835210556,0.5389175637811532,,,772,2,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack,linear,auroc,0.7965319480189368,,,0.7875647668393783,0.7461633781336383,0.7473499361430396,0.4947160052361036,,,772,2,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack,xgboost,auroc,0.900811806945636,,,0.8367875647668394,0.8213230387951578,0.8120652879532597,0.6245484020379806,,,772,2,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
tcga_mc3_wes,HRD_Score,regression,MuAt-compatible reimplementation,muat_compatible_qkv_attention,spearman,0.5194202845485159,,,,,,,,,772,1,,5,pooled_global_oof,outer_train_inner_validation_architecture_and_epoch_selection,${REPRO_ROOT}\results\tables\main_manuscript_complete_panel_oof_predictions.csv,a07245eddf973a26267d12ae093acb0cb9b54e097516b2dfaa140db745b6fc42,"MuAt-compatible direct comparator on canonical endpoint-specific outer folds; balanced accuracy is primary for cancer_type_top20, while accuracy/top-5 columns are retained for MuAt-paper TCGA-WES reference"
tcga_mc3_wes,hrd_binary_33,binary,MuAt-compatible reimplementation,muat_compatible_qkv_attention,auroc,0.729089219330855,,0.729089219330855,0.727979274611399,0.6382137069869411,0.6468620121807773,0.30036250647332985,1.0,1.0,772,2,,5,pooled_global_oof,outer_train_inner_validation_architecture_and_epoch_selection,${REPRO_ROOT}\results\tables\main_manuscript_complete_panel_oof_predictions.csv,07445330444faf718c6e0f07cf4f97f73391ce27c426516164d278ab3895f72e,"MuAt-compatible direct comparator on canonical endpoint-specific outer folds; balanced accuracy is primary for cancer_type_top20, while accuracy/top-5 columns are retained for MuAt-paper TCGA-WES reference"
